link,price,actual_price,ratings,color,Brand,Model,Processor,RAM,Storage
https://www.daraz.com.np/products/dell-latitude-e5300-2-in-1-360-fold-i5-8th-gen-8-gb-ram-256-gb-ssd-133-screen-i129532301.html,49999.0,65000.0,0.0,Black,Dell,Latitude E5300 2 in 1 360 Fold I5,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/mi-notebook-pro-intel-core-i5-11th-gen16gb512gb-ssdiris-xe-graphics-14-inch-laptop-i113998214.html,99999.0,114999.0,7.0,Grey,Mi,Notebook Pro Intel Core ,i5 11th Gen,Unknown,512GB SSD
https://www.daraz.com.np/products/dell-latitude-e7400-laptop-i5-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-silver-i129075425.html,47999.0,55000.0,3.0,Black,Dell,Latitude E7400 Laptop I5,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/dell-latitude-e7490-laptop-i7-8th-gen-256-gb-ssd-8-gb-ram-ultrabook-i123539511.html,55000.0,55000.0,4.0,Black,Dell,Latitude E7490 Laptop I7,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/lenovo-ideapad-slim-3i-2023-15-i3-13th-gen-8gb-ram-256gb-156-fhd-display-i128155035.html,51996.0,60000.0,2.0,Multicolor,Lenovo,IdeaPad Slim 3i 2023 15 ,i3 13Th Gen,8GB RAM,Unknown
https://www.daraz.com.np/products/hp-laptop-14-13th-gen-intel-core-i3-1315u-14-inch-fhd-8gb-ddr4-256-gb-ssd-intel-uhd-graphics-i140175146.html,55000.0,55000.0,0.0,Silver,HP, 13th Gen Intel Core ,i3-1315U,Unknown,Unknown
https://www.daraz.com.np/products/acer-swift-3-laptop-ryzen-7-5700u8gb512-gb14-fhdbacklit-keyboardwin-10-i110946950.html,105000.0,105000.0,3.0,Silver,Acer,Swift 3,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/primebook-4g-android-based-mediatek-mediatek-mt8788-4-gb64-gb-emmc-storageprime-os-4g-thin-and-light-laptop-116-inch-black-1065-kg-i129569211.html,24990.0,27990.0,1.0,Black,Primebook,4G Android Based MediaTek MediaTek MT8788,Unknown,Unknown,Unknown
https://www.daraz.com.np/products/chuwi-herobook-plus-156-windows-10-laptop-8gb-lpddr4256gb-ssdips-display-windows-10-home-plastic-thin-body-light-and-portable-free-gift-i105735203.html,38499.0,65120.0,1.0,Grey,CHUWI,HeroBook Plus,Unknown,Unknown,256GB SSD
https://www.daraz.com.np/products/lenovo-v15-celeron-laptop-4gb256gb-ssd156-inch-display-i128162455.html,33997.0,40000.0,1.0,Black,Lenovo,V15 celeron,Unknown,Unknown,256GB SSD
https://www.daraz.com.np/products/asus-zenbook-14-q407iq-laptop-ryzen-5-4500u-mx350-8gb-ram-256gb-ssd-14-fhd-display-i125215411.html,85000.0,85000.0,3.0,Light Grey,Asus,ZenBook 14,Unknown,8GB RAM,256GB SSD
